DPSE 40S20S;Elongation;N Sample
-7,770982992;20S;1
-2,794653333;20S;2
3,765022059;20S;3
-1,975158466;20S;4
-5,517788705;20S;5
-2,043893721;20S;6
-13,23960325;20S;7
-2,256795943;20S;8
-0,25410109;20S;9
4,0711172;20S;10
1,144351122;20S;11
-2,914546309;20S;12
-0,581551908;20S;13
-5,842312631;20S;14
-1,659651464;20S;15
0,907143467;20S;16
-2,852816622;20S;17
1,031209965;20S;18
2,16806508;20S;19
-8,432785614;20S;20
2,709498725;20S;21
-8,986085465;20S;22
-2,117063984;20S;23
-6,78243391;40S;24
4,643969197;40S;25
-3,56571521;40S;26
-13,16754769;40S;27
-2,582142401;40S;28
-11,94451284;40S;29
-4,050718979;40S;30
-2,428367533;40S;31
-0,949390883;40S;32
-5,208545857;40S;33
-5,886904103;40S;34
-0,267175125;40S;35
-12,04726885;40S;36
-2,107637728;40S;37
-1,548580831;40S;38
-4,842134472;40S;39
-4,656098342;40S;40
-1,911911316;40S;41
-9,382307997;40S;42
-7,852520431;40S;43
-4,53910265;40S;44
-3,417188068;40S;45
-0,87265046;40S;46
